trader,realized_pnl,unrealized_pnl,net_pnl,tokens_traded
V8xo2qUapSZvY6HQ69G3D62VpqNp7XvorfbKTUGeUTC,180.20964412702494,476.5909859754893,656.8006301025142,23
7sQpXsCeLs9Mj71rH5sK94ism9bPBhiVRVEXvtkN9qfA,-80.87497235936672,0.0,-80.87497235936672,2
DxbAvST3jQwdCa8GXpkZoBNL6VzuK9PPcAM2zbT4nekA,587.5527482028394,-7462.93155773549,-6875.378809532651,17
4aCKvLnJhBGWb9huQsCP3ckFVmgzVB2PZr2vXnoD4eWu,781.9238878178853,-684.290795010289,97.63309280759631,2
3xEgQCqNhJGHqavQzEFpmet8Vtc6o1L43snhRFeVLE1w,-1236.7037768538835,-3113.538957964997,-4350.24273481888,16
J4Fh6H6UkNdCieBdas4rtbVbizZTTzYm5kgRg4XZV4hu,1313.9150329200465,-1885.6571137579826,-571.7420808379361,10
82HepwCnK74wi16AHGTDTAZD4zbLpL3F1fBLXpMJC9hk,370.640409,-435.4329433223898,-64.79253432238983,2
7wkwfV1PeVJwyQJxuEbDm5urf5Qiz6Td3npnMtHahuM8,0.0,668.6696799082192,668.6696799082192,4
AQBqdSdJFCoX1XtmPwGA5aruACxQ9qGukcMT8eHA7kJG,164.96211540416527,-789.4816406613198,-624.5195252571546,3
FS2XihH7K25LRAU2bjRPUzjxJNu5mu1Dx824cV2GsxHj,38.75781763730272,-1888.1833931651809,-1849.4255755278782,5
8V4yLv9FKBPUeJzuRhqxz1cZZiBM96BFqHujPVUfpHMp,-43.717541886930576,-1736.708528387035,-1780.4260702739655,3
GJmNvExTyHSi2VfTjxkFQQa5UptX6wRDufHMvzUoUQsD,-371.5696446920656,-24.09850754754441,-395.66815223961,1
HgQifHz2u43RgVuHw2ycatBxvqbcxpMhjx6MbXYVFVn3,0.0,401.9850696336155,401.9850696336155,1
Gw5PXwWq5qjikg3bXqneM651RkppneQZ2cD7EP9N6ZiH,0.645879974364135,0.0,0.645879974364135,1
5D6HR97ZkHSsHYb564sBgnaacfr3osoctsRskWBMX84m,0.0,-762.2798714110293,-762.2798714110293,2
etRxq2ucrFEpkQyWjUip6cc6bz5uv31Ho8hazvQiczJ,23.002038698037836,-402.6479810476974,-379.64594234965955,3
4DovZLQMSrHhptkcteC7x5UCGRSEmLqfAQKtjBUEJxC1,-417.12528052467553,-26988.638308383892,-27405.76358890857,36
EP5BgwZP6DjEdhUtWZciJd8UbciNap5XPAtbrFT4jGBw,0.0,-532.785580541127,-532.785580541127,1
9GQSx2KiPWW6R19zqyn8nUG3hFSsPhT4vMSRyR2DHPRu,-46.78283893035871,-1823.7489692720055,-1870.5318082023641,4
65QV4WbUTJCerjkfiRuLWKSp1KQEokxDQrj5SHa8XktB,-161.3253970805344,-411.3949102106884,-572.7203072912228,2
hkbv3WrTefqvsV4L425dWjeNzWZ5ar4oqXLaW9tFaMV,0.0,-580.0397115145053,-580.0397115145053,2
6NFLb7EJKjQDpUP9gDnNLdtenY8Wo8PY2u6S6uX9dSkJ,-637.2132376083615,2465.486750096308,1828.2735124879464,5
97E2SXxrMutnXpdgDAEncwKinpcBFPG5vJVuJZdwzcED,0.0,-490.28370626106874,-490.28370626106874,2
DWEJ87KozU9qugp2a9LedhPWVueHeZ7Qz4pec9pCDNhY,-801.9840393605216,-1940.7749241030924,-2742.7589634636142,7
2LXfxUjVku2TqcgiX33nJadkfnwVM7skEMv2GYMABn6r,-112.05918035866011,-804.7644341098339,-916.823614468494,3
5FifFcEYkNFDbThq7qVv7CP11yLp9YR3y7XwDUZ4bwFH,0.0,-436.4552936935896,-436.4552936935896,2
313XmbdKu1gVnUUeJzrC7UWryu6vrt17oFbV2Pz17NUe,0.0,-393.95557001366234,-393.95557001366234,1
9ezZUoQ6tuUMftfcLWTu31ifkFbXHkFkumAswQFwfQ7y,0.0,-983.3681345143543,-983.3681345143543,2
9eA4hXeHisAUui2LSnJCig1SpNLM2effDwRmd6JFge3h,121.91188082508407,-116.54211553868954,5.369765286394525,2
ErALsNkGyLY4bb1ZUjd1pMs3cccktZNmErGk5sgt6fRL,-1538.8022873574755,-1592.652198467111,-3131.4544858245863,4
HEFhJRj64eRq6akxvr2F7krHqmMVfpn4Fa4trxQ7om8N,255.9052034826284,-879.9581780644095,-624.0529745817811,1
CCw8YK73sFqdPkYGbAwguShK599sjLi2y6ABxvrKqx11,2342.14444340303,-2742.878690362657,-400.73424695962694,5
9LQ5QrHxN6vG2B78eDJE34CupZPxet1532w6qdhnVj2q,1.0037527161119293,0.0,1.0037527161119293,1
6gtekkWgscS7ZagieUg72f7AVEPgJcqFJkcd5XvZhvZ4,0.0,-1130.5858423655554,-1130.5858423655554,2
BTMWSQLA5jDrbm8dcfNj99bzA4kdQsaZNaUDZb9hR41S,-417.42559960566075,0.0,-417.42559960566075,1
6fgFnwuRY3nBLbrTyER39oCezdm67r5zCAh4DtGBeLmD,-464.6519955690909,0.0,-464.6519955690909,1
GqruXDD4M3tHWsEYbMyVnPVNrSwSSruVZYL5WN6HFasm,0.0,-34.63070097070565,-34.63070097070565,1
